ID,Name
8a2f4898-5337-48cc-af07-d0be5f0f2068,Walmart
2e551cee-c325-4017-9766-a2b5c7664a33,Kroger
14ca2439-0e79-46a2-8165-7755a6bc63c9,Albertsons
99d9d6db-055c-4380-a4aa-5e79ae6dccef,Costco
20229ad5-5bf5-466a-860d-675aa730a4b9,Publix
b8c87346-4c0f-4e50-b977-03b574cb4e57,Safeway
0666bbb5-6b9c-4752-aa6a-63969ea4f909,Whole Foods Market
11d6937a-b5bf-4fd3-8b16-065b6fb69cae,Trader Joe's
a43bbd26-2688-4a86-8ba8-bce5a9c3e194,H-E-B
27793380-a0f8-4b2c-9461-d72858a31f25,Meijer
e7de0c7d-599f-4d00-8fd7-2e12f5c96081,Target
293d6da0-4a26-4f25-b9da-668b28468806,Aldi
461bf8f8-0bdf-475f-bd55-52f762f61c09,Sam's Club
2c833643-c052-4d14-bc36-e2804bede0d7,Giant Eagle
bd4e2380-ca61-42fe-9219-87319eeefe79,WinCo
14083e38-3eb3-4ce9-af3e-ac58cfe4d613,Hy-Vee
80da61d3-ebfd-44e7-9a86-8fbe61eaf698,Wegmans
a69f140c-2604-45d6-bf10-14b035553fe2,Food Lion
b6721f01-751f-4766-be8d-6b2432ba6024,ShopRite
9c7953d2-a284-4e95-8797-8464c377c840,Stop & Shop
9be6ff25-01d4-46bb-bd1a-9efff22d538f,Sprouts Farmers Market
67d007e5-9acf-4089-8cea-6cad0624f1ae,Piggly Wiggly
b904eb47-36c4-4125-933e-d984dc140758,Ralphs
e4ea7342-3b8f-4f75-a175-978520d37428,Fred Meyer
694bf6cc-6384-4a64-ac99-d7213764e50d,Food 4 Less
42c897ee-419d-42ae-8acd-117b44fc5da1,Harris Teeter
d3d3067b-b866-46ba-b131-08197e1cddb3,Giant Food
06df1cd5-a0cb-4789-907a-d0212dcae639,Bi-Lo
47b30aca-0367-4d28-b6d7-be0a3eef4df6,Jewel-Osco
7998ddab-b823-4470-9426-51a236e5457c,Vons
433059c3-8ea6-494a-9350-9bf696a8b6e0,Shaw's
6651ec38-4621-4f5e-a3bc-58e9e2ce876c,Ingles Markets
78190752-bc56-4496-b266-7e3f76484640,Fry's Food Stores
5b673087-b3a3-48c7-a93e-3a56c37da3a1,Market Basket
1f909dee-9447-489f-9c98-9d217cb792c1,Raley's
6865ac7a-3eda-4531-a066-e602af24fb30,QFC (Quality Food Centers)
9ae27470-2f51-4d8a-849e-5f2b170d4ed9,Woodman's Markets
8dc0e02c-8c67-421a-b18d-080d3cc0af52,Price Chopper
c7c47aae-77ee-4751-8449-29c265b8aa5b,King Soopers
7bc80db8-d5eb-4365-93e4-ecbbe777dbb5,The Fresh Market
e2ff254c-ccd5-43c9-b9d4-1e1c115a8e34,Acme Markets
75ecbe46-227b-44e3-b5d6-ff33758f3c33,Brookshire Grocery Company
4a551289-5a23-4c9a-82e0-8219b3a53cca,Food City
f3f4a5b7-752f-4255-a111-c5c4e45d5f94,Stater Bros. Markets
e6fd1090-4e83-4d82-91f3-a68e41bfa571,SpartanNash
9f9b68b4-1533-42d3-8bd6-10327466f864,Super 1 Foods
5bc2eb03-a13d-49ca-b0e5-f3b34cda6263,Tops Friendly Markets
f8edb554-87eb-42ee-b433-94e75a5bc1d5,Associated Food Stores
e1f1ba90-c27f-456a-817c-3f2bca5265f7,Weis Markets
22f04322-0a6d-4e35-9b80-b20511af00e7,Smart & Final
f17205cb-fe6e-4b18-8cf3-4589c806c652,Coborn's
c1e6ef61-4245-46c4-878a-9af7ec1b7407,United Supermarkets
00206d19-b4c8-48c1-8596-bc9af0012af8,Save Mart Supermarkets
3ec10c75-1fd3-47fa-8455-2c04fa3af788,Buehler's Fresh Foods
f8ec249f-cf41-41b9-bb25-dcf377bf09ae,Fareway Stores
b0f9f94d-216b-48bf-8e68-a6c4ef0c0dd1,Food Basics USA
b6710e42-de5d-400f-b71b-62ae998ebda4,Key Food Stores Co-Operative Inc.
87494657-52b2-48ee-b332-bf51dccb28bf,Food Bazaar Supermarket
a573f50a-165a-4696-9d36-02851ae65544,Lidl
48d6b7a5-f02f-43f1-88dd-00449a4b0c5d,FoodMaxx
bb5721cf-7e1a-44fc-9cd5-323f0b3f973c,Foodtown
bd92355b-3180-43b4-b67a-a490072119ba,Marc's Stores
284b297c-3da0-458a-b1a9-780a4e16ce4b,Shoppers Food & Pharmacy
d3f229a7-3a7e-4775-9476-3b09f2bba482,Rouses Markets
e562673b-7c7c-4a42-ae03-3420c47bc357,El Super
e84379ca-405d-47e6-a9f6-d6de344349b0,Cardenas Markets
4c146b66-b915-4a51-abda-8a5d0bfa4a67,Vallarta Supermarkets
c8777c0e-98fb-4f51-acd6-4a091f8a9db8,Northgate Market
655566d1-fcd5-4a02-bbcf-0a9a7310fb4a,Pueblo Supermarkets
9f476557-e65a-4f1f-90ea-72cd2c3ea98c,WinCo Foods
41ab43c8-4ad7-4942-ba37-4f582c3df65a,Cash Wise Foods
9e496970-6957-40e8-a05f-1350c7742cf7,Festival Foods
b9be7cb6-0228-4506-a39d-ad4dfaddc90a,Supermercado Nuestra Familia
71d5d237-3c83-4f99-b6d5-ddb374816419,Homeland Stores
c778f5fb-97c0-4854-b8b9-a9b3d5b6461a,Western Beef
223d2184-17ea-4895-9229-2ff036f0bbbb,Foodarama
